Album,Artist,Year,Streams_or_Sales
Un Verano Sin Ti,Bad Bunny,2022,14.235M+
Divide (÷),Ed Sheeran,2017,13.759M+
Starboy,The Weeknd,2016,11.586M+
Sour,Olivia Rodrigo,2021,10.389M+
Hollywood's Bleeding,Post Malone,2019,11.433M+
Beerbongs & Bentleys,Post Malone,2018,11.114M+
After Hours,The Weeknd,2020,10.688M+
Fine Line,Harry Styles,2019,8.272M+
"When We All Fall Asleep, Where Do We Go?",Billie Eilish,2019,10.119M+
Future Nostalgia,Dua Lipa,2020,11.111M+
Justice,Justin Bieber,2021,7.163M+
Midnight Memories,One Direction,2013,4M+
The Marshall Mathers LP 2,Eminem,2013,3.8M+
The 20/20 Experience,Justin Timberlake,2013,3.6M+
Unorthodox Jukebox,Bruno Mars,2012,3.2M+
Random Access Memories,Daft Punk,2013,3.2M+
