Song,Artists,Genres,Popularity,Country
Despacito,"Luis Fonsi, Daddy Yankee","Reggaeton, Latin Pop",76,US
Shape of You,"Ed Sheeran, Various Artists",Pop,89,GB
Blinding Lights,"The Weeknd, Various Artists","R&B, Pop",98,US
Havana,"Camila Cabello, Young Thug","Pop, Latin",84,US
Sunflower,"Post Malone, Swae Lee","Hip-Hop, Trap",80,US
Old Town Road,"Lil Nas X, Billy Ray Cyrus","Country, Hip-Hop",77,US
Rockstar,"Post Malone, 21 Savage","Hip-Hop, Rap",98,US
Uptown Funk,"Mark Ronson, Bruno Mars","Funk, Pop",90,GB
Gangnam Style,"PSY, Various Artists","K-pop, Pop",76,KR
Closer,"The Chainsmokers, Halsey","Pop, Dance",95,US
