"Date","Song","Artist","Playlist","Popularity","Reproductions"
2017-01-01,"Despacito","Luis Fonsi, Daddy Yankee","Today's Top Hits",30,1e+06
2017-02-01,"Despacito","Luis Fonsi, Daddy Yankee","Today's Top Hits",45,2e+06
2017-03-01,"Despacito","Luis Fonsi, Daddy Yankee","Today's Top Hits",70,4e+06
2017-04-01,"Despacito","Luis Fonsi, Daddy Yankee","Today's Top Hits",90,8e+06
2017-05-01,"Despacito","Luis Fonsi, Daddy Yankee","Today's Top Hits",95,1e+07
2017-06-01,"Despacito","Luis Fonsi, Daddy Yankee","Today's Top Hits",100,1.2e+07
2017-07-01,"Despacito","Luis Fonsi, Daddy Yankee","Today's Top Hits",98,1.1e+07
2017-08-01,"Despacito","Luis Fonsi, Daddy Yankee","Today's Top Hits",85,9e+06
2017-09-01,"Despacito","Luis Fonsi, Daddy Yankee","Today's Top Hits",75,7e+06
2017-10-01,"Despacito","Luis Fonsi, Daddy Yankee","Today's Top Hits",60,5e+06
2017-11-01,"Despacito","Luis Fonsi, Daddy Yankee","Today's Top Hits",50,3e+06
2017-12-01,"Despacito","Luis Fonsi, Daddy Yankee","Today's Top Hits",40,1e+06
