year,popularity,genre
1992,45.0,Reggaeton
1996,44.0,Reggaeton
2001,65.0,Reggaeton
2002,48.0,Reggaeton
2003,51.25,Reggaeton
2004,58.583333333333336,Reggaeton
2005,52.3,Reggaeton
2006,55.25,Reggaeton
2007,60.666666666666664,Reggaeton
2008,64.0,Reggaeton
2010,60.75,Reggaeton
2011,59.0,Reggaeton
2012,59.111111111111114,Reggaeton
2013,62.666666666666664,Reggaeton
2014,69.0,Reggaeton
2015,63.857142857142854,Reggaeton
2016,68.15,Reggaeton
2017,68.26829268292683,Reggaeton
2018,71.21428571428571,Reggaeton
2019,76.09375,Reggaeton
2020,69.0,Reggaeton
